# mvp-tdem synthetic Tx current monitor
t_rx,current_a
536.99999999999795,198.35399682141923
537.19999999999789,198.35372524639953
537.39999999999782,198.35344714250272
537.59999999999786,198.35316251406203
537.79999999999791,198.35287136329666
537.99999999999784,198.35257369409234
538.19999999999777,198.35226950909129
538.39999999999782,198.35195881235319
538.59999999999786,198.35164160627761
538.79999999999779,198.35131789580711
538.99999999999773,198.35098768383679
539.19999999999777,198.35065097365563
539.39999999999782,198.35030776975759
539.59999999999775,198.34995807518888
539.79999999999768,198.34960189421494
539.99999999999773,198.34923923079339
540.19999999999777,198.34887008936997
540.3999999999977,198.34849447322119
540.59999999999764,198.34811238736009
540.79999999999768,198.3477238351781
540.99999999999773,198.34732882141589
541.19999999999766,198.34692735046255
541.39999999999759,198.34651942723826
541.59999999999764,198.34610505536386
541.79999999999768,198.34568424036962
541.99999999999761,198.34525698599072
542.19999999999754,198.34482329744111
542.39999999999759,198.34438317953956
542.59999999999764,198.34393663767901
542.79999999999757,198.34348367582288
542.9999999999975,198.34302430001654
543.19999999999754,198.34255851486157
543.39999999999759,198.34208632447073
543.59999999999752,198.34160773620152
543.79999999999745,198.34112275377768
